Latitude,Longitude,#,Title,file#,מיקום גוף יוצר,Description,תיאור התיק,תקופת החומר מ,תקופת החומר עד,סוג התיק,שפה,סטטוס חשיפה,subjects,people,locations,events,organization,projects,מספר תיק לציטוט,מספר תיק,מספר תיק ישן,מספר מסמכים בתיק,זכויות יוצרים,מתאריך,עד תאריך,מזהה סימול מקורי,סוג מפה,קנה מידה,צבע,"רוחב בס""מ",אורך או גובה במטר,"סה""כ תצלומים",מקום הוצאה,תאריך התצלום,תאריך הפקה,סוג זיעור,מקומות הקשורים בפריט,סוג מוצג,תאריך הוצאה,מסמכים בתיק,סוג החומר המוצג,סוג פרסום,"עומק בס""מ",xfile?,url,ScanningDAte
16549,דנגור,0b071706804fa80f,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",מסמכים ממשרד הפנים ובהם תכניות בנין ערים של קיבוץ נירים.,,8/9/1950 0:00,5/8/1952 0:00,תיק מסמכים,,גלוי,יישובי עוטף עזה,,קיבוץ נירים,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004gu9,,גל - 33 / 3956,1,,8/9/1950 0:00,5/8/1952 0:00,37,,,,,,,,,,,קיבוץ נירים,,,ISA-MOIN-InteriorPlans-0004gu9,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b071706804fa80f,,,
32.0852997,34.7818064,16551,אגף התכנון - אישורי תכניות בניה - תל-אביב,0b0717068050dfc1,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","תכנית בנין עיר מפורטת מס' 453, גושים 6107,6108,6212.",,12/23/1956 0:00,3/15/1959 0:00,תיק מסמכים,,גלוי,מדיניות בנושא קרקעות,,תל אביב,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004pn6,,גל - 36 / 6455,1,,12/23/1956 0:00,3/15/1959 0:00,תא'/453,,,,,,,,,,,תל אביב,,,ISA-MOIN-InteriorPlans-0004pn6,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b0717068050dfc1,
31.7977314,34.6529922,16552,אגף התכנון - אישורי תכניות בניה - אשדוד,0b0717068050f194,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",מסמכים ממשרד הפנים ובהם אישורי תכניות בנייה באשדוד.,,11/18/1968 0:00,2/3/1970 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,אשדוד,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004q33,,גל - 2 / 6397,1,,11/18/1968 0:00,2/3/1970 0:00,ד/455/ד((1,,,,,,,,,,,אשדוד,,,ISA-MOIN-InteriorPlans-0004q33,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b0717068050f194,
32.0852997,34.7818064,16555,אגף התכנון - אישורי תכניות בניה - תל-אביב,0b07170680513dc6,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","תכנית בנין עיר מפורטת מס' 465, גוש 6135 חלקה 67",,5/30/1957 0:00,2/3/1958 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,תל אביב,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004s1n,,גל - 40 / 6455,1,,5/30/1957 0:00,2/3/1958 0:00,תא/465,,,,,,,,,,,תל אביב,,,ISA-MOIN-InteriorPlans-0004s1n,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b07170680513dc6,
32.0852997,34.7818064,16556,אגף התכנון - אישורי תכניות בניה - תל-אביב,0b07170680513e69,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","תכנית מפורטת מס' 504, גוש 6110-6111 ועוד.",,1/7/1957 0:00,1/6/1961 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,תל אביב,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004s2a,,גל - 19 / 6456,1,,1/7/1957 0:00,1/6/1961 0:00,תא/504,,,,,,,,,,,תל אביב,,,ISA-MOIN-InteriorPlans-0004s2a,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b07170680513e69,
31.6644874,34.5730157,16557,אשקלון,0b07170680516f9a,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",מסמכים ממשרד הפנים ובהם תכניות בנין ערים של אשקלון.,,5/9/1978 0:00,6/5/1978 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,אשקלון,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004tce,,גל - 24 / 6399,1,,5/9/1978 0:00,6/5/1978 0:00,45/147/03/4,,,,,,,,,,,אשקלון,,,ISA-MOIN-InteriorPlans-0004tce,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b07170680516f9a,
32.0852997,34.7818064,16560,אגף התכנון - אישורי תכניות בניה - תל-אביב,0b0717068051bdf9,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","ת.ב.ע 617 תל אביב, גוש 7103.",,2/15/1960 0:00,2/23/1961 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,תל אביב,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0004va2,,גל - 7 / 6458,1,,2/15/1960 0:00,2/23/1961 0:00,תא/617,,,,,,,,,,,תל אביב,,,ISA-MOIN-InteriorPlans-0004va2,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b0717068051bdf9,
32.93495035,35.31380662,16561,תכניות בניין ערים (ת.ב.ע) - נחף,0b07170680539cc9,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","בתיק בקשות, שרטוטים ואישורים לשינוי ת.ב.ע בנחף",,7/4/1971 0:00,6/26/1974 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,נחף,,מינהל התכנון,,ISA-MOIN-InteriorPlans-00058il,,גל - 26 / 22904,1,,7/4/1971 0:00,6/26/1974 0:00,ג/1471,,,,,,,,,,,נחף,,,ISA-MOIN-InteriorPlans-00058il,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b07170680539cc9,
32.93495035,35.31380662,16562,תכניות בניין ערים (ת.ב.ע) - כפר נחף,0b07170680544625,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","בתיק התכתבויות שרטוטים ואישור שינוי ת.ב.ע בכפר נחף, ייעוד שטח למחצבה.",,12/9/1971 0:00,9/3/1972 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,נחף,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0005ct4,,גל - 44 / 22904,1,,12/9/1971 0:00,9/3/1972 0:00,ג/1547,,,,,,,,,,,נחף,,,ISA-MOIN-InteriorPlans-0005ct4,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b07170680544625,
32.9281731,35.0756378,16563,עכו - צפון,0b07170680547dd2,משרד הבינוי והשיכון/המרכז למיפוי ישראל,מסמכים ממשרד הבינוי והשיכון ובהם תכניות בנינים בעכו.,,1/1/1965 0:00,12/31/1965 0:00,תיק מסמכים,,גלוי,דיור ציבורי,,עכו,,"משרד הבינוי והשיכון - לשכת מנכ""ל",,ISA-moch-mapi-0005ecq,,גל - 4 / 48202,1,,1/1/1965 0:00,12/31/1965 0:00,,,,,,,,,,,,עכו,,,ISA-moch-mapi-0005ecq,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680043ed4/File/0b07170680547dd2,
32.7483555,35.183866,16566,תכניות בניין ערים (ת.ב.ע) - ערב כעביא,0b0717068056f003,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון","בתיק התכתבויות, שרטוטים ואישורים לשינוי ייעוד קרקע ממגורים למבנה ציבורי (מסגד) בכעביה.",,8/8/1984 0:00,4/18/1985 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,כעביה,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0005uv8,,גל - 5 / 22930,1,,8/8/1984 0:00,4/18/1985 0:00,ג/4975,,,,,,,,,,,כעביה,,,ISA-MOIN-InteriorPlans-0005uv8,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b0717068056f003,
32.3293809,-83.1137366,16567,תכניות בניין ערים (ת.ב.ע) - ג'ת,0b0717068057170c,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",בתיק תכניות שרטוטים ואישורים להקמת מגרש ספורט בג'ת.,,6/26/1976 0:00,7/31/1978 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,ג'ת,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0005vw8,,גל - 28 / 22914,1,,6/26/1976 0:00,7/31/1978 0:00,ג/3236,,,,,,,,,,,ג'ת,,,ISA-MOIN-InteriorPlans-0005vw8,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b0717068057170c,
32.93495035,35.31380662,16568,תכניות בניין ערים (ת.ב.ע) - נחף,0b07170680575122,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",בתיק התכתבויות שרטטים ואישורים לשינוי ת.ב.ע בנחף מקרקע חקלאית לקרקע למגורים.,,1/31/1973 0:00,5/6/1975 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,נחף,,מינהל התכנון,,ISA-MOIN-InteriorPlans-0005xf4,,גל - 25 / 22906,1,,1/31/1973 0:00,5/6/1975 0:00,ג/1787,,,,,,,,,,,נחף,,,ISA-MOIN-InteriorPlans-0005xf4,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b07170680575122,
33.0431736,35.185811,16570,תכניות בניין ערים (ת.ב.ע) - עין חרדלית,0b0717068058ae65,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/משרד הפנים - מינהל התכנון",בתיק תכניות ושרטוטים למרכז נופש - עין חרדלית.,,9/28/1978 0:00,4/18/1980 0:00,תיק מסמכים,,גלוי,מדיניות תכנון ובנייה,,עין חרדלית,,מינהל התכנון,,ISA-MOIN-InteriorPlans-000668i,,גל - 15 / 22915,1,,9/28/1978 0:00,4/18/1980 0:00,ג/3305,,,,,,,,,,,עין חרדלית,,,ISA-MOIN-InteriorPlans-000668i,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251a3/File/0b0717068058ae65,
30.6052767,32.3331003,16571,( סיני )  ( Sinai ),0b07170680598119,אוספים/מפות,"בתיק צלום מפה טופוגרפית של סיני ושטחים סמוכים בארץ-ישראל על-גבי נייר שקוף יציב ( נגטיב ); כולל פורט סעיד, סואץ, געתיה, אל-עריש, חאסנה, אל-קוסיימה, נואיבה, עקבה וכו'; כולל ים התיכון, מפרץ סואץ, מפרץ עקבה; סומן גבול מצרי-תורכי 1906 סימנים טופוגרפיים, של כבישים ומסילות ברזל; הערות בכתב על-גבי המפה ( Sand, Open Country, Waterless, Hard Ground וכו' ) בסיס המפה - עובד ע""י המחלקה הטופוגרפית של מטכ""ל בריטי ( Topographical Section of General Staff )",,1/1/1906 0:00,12/31/1906 0:00,מפה,אנגלית,גלוי,,,תעלת סואץ,,מפות,,ISA-Collections-Maps-0006bxk,,מפה - 1 / 4160,1,,1/1/1906 0:00,12/31/1906 0:00,,טופוגרפית,0:14:40,שחור/ לבן,,,,,,,,מפרץ אילת,,,ISA-Collections-Maps-0006bxk,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680034d87/File/0b07170680598119,
31.263235,32.305505,,,,,,,,,,,,,,פורט סעיד,,מפות מתקופת המנדט הבריטי,,,,,,,,,,,,,,,,,,,,סיני,,,,,,,,,
32.1065204,35.1900046,,,,,,,,,,,,,,מפרץ אילת,,,,,,,,,,,,,,,,,,,,,,תעלת סואץ,,,,,,,,,
,,,,,,,,,,,,,נואיבה,,,,,,,,,,,,,,,,,,,,,,פורט סעיד,,,,,,,,,,,
29.52316965,33.80547258,,,,,,,,,,,,,,סיני,,,,,,,,,,,,,,,,,,,,,,אל עריש,,,,,,,,,
29.526702,35.007822,,,,,,,,,,,,,,עקבה,,,,,,,,,,,,,,,,,,,,,,נואיבה,,,,,,,,,
31.1272509,33.8045859,,,,,,,,,,,,,,אל עריש,,,,,,,,,,,,,,,,,,,,,,עקבה,,,,,,,,,
32.8191218,34.9983856,16574,( תכניות הבנינים ),0b071706805a5f06,אוספים/מפות,"בתיק מס' 4242 רשום על-גבי המעטפה בה נמצאות 2 תכניות הרכוש ו-4 דפי מקרא לתכניות ( ? ); על-גבי המעטפה רשמית מתקופת המנדט רשום - Plans Concerning - D ( HA ) - 1/97 - El Dhoor el Garbah ( Abjad ) 3/B 18 - תרשים רכוש של בניו של אליאס אבג'אד מנוח ( תיק 557/21 ); בנין מחולק ל-4 חלקים בהתאם לירושה ( סומנו בצבעים שונים ); רשומים כמות השטח של כל אחד מחלקים ושמות הצדדים 31.5.1926; מצ""ב צלום קטע של מפת חיפה ( על רקע כחול ) ובה סומן בנין של אליאס חדאד בצבע כתום - צלום של חלקים מרכוש וטבלת השטח של כל אחד מהם ( בול הכנסה - 13.7.1914 ); בגב התצלום רשום מס' 137 10.1.1933 וחותמת של בית-משפט המחוזי חיפה - על-גבי 2 מתוך 4 דפים של מקרא לתרשים ( ? ) רשום מס' 273/37 - עובד ( מילה לא ברורה ) L.D. Surveyor 29.7.37",,5/31/1926 0:00,7/29/1937 0:00,מפה,אנגלית/ערבית,גלוי,,,חיפה,,מפות,,ISA-Collections-Maps-0006hr8,,מפה - 1 / 4242,1,,5/31/1926 0:00,7/29/1937 0:00,,,0.388888889,שחור/ לבן,,,,חיפה,,,,חיפה,,,ISA-Collections-Maps-0006hr8,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680034d87/File/0b071706805a5f06,
33.8750629,35.843409,16581,"ועדת ""וינוגרד""  לבדיקת מלחמת לבנון השנייה - דו""ח חלקי",0b071706805f1426,משרד הפנים/משרד הפנים - לשכת השר,"בתיק הדו""ח החלקי של ועדת וינוגרד לבדיקת מלחמת לבנון השנייה. דו""ח זהה מופיע גם באתר האינטרנט של הועדה.",,4/30/2007 0:00,4/30/2007 0:00,תיק מסמכים,,גלוי,"שהות כוחות צה""ל בלבנון",,לבנון,"מלחמת לבנון השנייה, יולי - אוגוסט 2006",משרד הפנים - לשכת השר,,ISA-MOIN-minister-0007dkb,,גל - 13 / 57665,1,,4/30/2007 0:00,4/30/2007 0:00,,,,,,,,,,,,לבנון,,,ISA-MOIN-minister-0007dkb,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680028661/File/0b071706805f1426,
31.0686612,35.0366482,16584,רשויות מקומיות - תיקי סעד - רמת-נגב,0b07170680603fd5,"משרד הפנים/משרד הפנים - לשכת המנכ""ל/המינהל לשלטון מקומי",התכתבות עם משרד הסעד בעניין מימון פעולות הסעד,,1/1/1953 0:00,12/31/1957 0:00,תיק מסמכים,,גלוי,,,דימונה,,משרד הסעד,,ISA-MOIN-InteriorLocalgov-0007l48,,ג - 108 / 1889,1,,1/1/1953 0:00,12/31/1957 0:00,6334,,,,,,,,,,,דימונה,,,0007l48,,,,,https://www.archives.gov.il/archives/#/Archive/0b071706800251ff/File/0b07170680603fd5,
30.9887409,34.9264631,,,,,,,,,,,,,,ירוחם,,מנהל המינהל לשלטון מקומי,,,,,,,,,,,,,,,,,,,,ירוחם,,,,,,,,,
32.4967519,35.4973022,16614,הצעת תרשים של תכנית בנית תחנת משטרה בביסן. Proposed 2nd Class Police Station - Beisan - Sketch Plan,0b07170680675a75,אוספים/מפות,"הצעת תרשים של תכנית בנית תחנת משטרה ( סוג ב' ) בביסן ( בית-שאן ) על-גבי נייר שקוף מוצהב - תכניות של קומות קרקע והראשונה; למטה - מראה כללי של הבנין המיועד נתונים - מס' סידורי 027; Number BP/1581; שורטט ע""י A.F.; תאריך 8.3.40 בצד ימין - חתימת האישור ב- 9.3.40; חתימות האדריכל, עוזר לאדריכל; מנהל המח' לעבודות צבוריות  ארכיון המדינה נוקט במירב המאמצים על מנת לפרסם את החומרים באתר בהתאם להוראות כל דין. אם הנך סבור/ה כי חומר כלשהו מוצג תוך הפרת זכויות יוצרים, תוך פגיעה בפרטיות או כי החומר מהווה לשון הרע, אנא רשום לנו בכתובת: https://www.archives.gov.il/ וההודעה תיבדק ובמידת הצורך החומר יוסר באופן מידי מהאתר. ",,3/8/1940 0:00,3/9/1940 0:00,מפה,אנגלית,גלוי,,,בית שאן,,מפות,,ISA-Collections-Maps-0008yhs,,מפה - 1 / 4707,1,,3/8/1940 0:00,3/9/1940 0:00,,,0.180555556,שחור/ לבן,,,,,,,,בית שאן,,,ISA-Collections-Maps-0008yhs,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680034d87/File/0b07170680675a75,
31.79592425,35.21198076,16637,הנהלה - ועדת ירושלים,0b07170680689b59,משרד החקלאות ופיתוח הכפר,"אוסף מסמכים של משרד החלקאות בנושא הנהלה - ועדת ירושלים, הכוללים:  יוקר של מצרכים, העברת בית הדפוס הממשלתי לירושלים, מועצת ירושלים.",,6/14/1948 0:00,8/20/1948 0:00,תיק מסמכים,,גלוי,מדיניות חקלאית,,ירושלים,,משרד החקלאות ופיתוח הכפר,,ISA-moag-moag-00096yh,,ג - 11 / 2187,1,,6/14/1948 0:00,8/20/1948 0:00,א'/20/יח',,,,,,,,,,,ירושלים,,,ISA-moag-moag-00096yh,,,,,https://www.archives.gov.il/archives/#/Archive/0b0717068001ad68/File/0b07170680689b59,
32.0852997,34.7818064,16641,גוש 6900 והסביבה.   Block 6900 and Environs,0b0717068068f7e8,אוספים/מפות,"תרשים מפת תכנון טופוגרפית של גוש 6900 והסביבה על-גבי נייר שקוף לבן ( מפת מיקום של תרשים מס' 5006 ); סומנו גבולות הגוש, תכנון עירוני של תל-אביב, של חוליות; כולל מרכז תל-אביב, שייך מווניס, קרית שאול; כולל נהר הירקון, ים התיכון סימנים טופוגרפיים, של תכנון, כבישים נתונים - מס' התכנית Plan Number TP/503/44; תאריך 7.9.44; שורטט ע""י A.K.  ארכיון המדינה נוקט במירב המאמצים על מנת לפרסם את החומרים באתר בהתאם להוראות כל דין. אם הנך סבור/ה כי חומר כלשהו מוצג תוך הפרת זכויות יוצרים, תוך פגיעה בפרטיות או כי החומר מהווה לשון הרע, אנא רשום לנו בכתובת: https://www.archives.gov.il/ וההודעה תיבדק ובמידת הצורך החומר יוסר באופן מידי מהאתר. ",,9/7/1944 0:00,9/7/1944 0:00,מפה,אנגלית,גלוי,,,תל אביב,,מפות,,ISA-Collections-Maps-000998r,,מפה - 1 / 5007,1,,9/7/1944 0:00,9/7/1944 0:00,,,"1:20,000",שחור/ לבן,,,,,,,,תל אביב,,,ISA-Collections-Maps-000998r,,,,,https://www.archives.gov.il/archives/#/Archive/0b07170680034d87/File/0b0717068068f7e8,
16643,נזקי כפור ושלג לנטיעות,0b07170680691a22,משרד החקלאות ופיתוח הכפר,דוחות על נזקים שנגרמו כתוצאה מהשלג לעצים ויערות באזורים שונים בארץ,,2/1/1950 0:00,8/31/1951 0:00,תיק מסמכים,,גלוי,פגעי טבע,,העכו,,משרד החקלאות ופיתוח הכפר,,ISA-moag-moag-0009a39,,גל - 13 / 46538,1,,2/1/1950 0:00,8/31/1951 0:00,10\11,,,,,,,,,,,חיפה,,,ISA-moag-moag-0009a39,,,,,https://www.archives.gov.il/archives/#/Archive/0b0717068001ad68/File/0b07170680691a22,,,
31.8117747,34.7803882,,,,,,,,,,,,שמירה על הטבע בישראל,,גדרה,,,,,,,,,,,,,,,,,,,,,,ירושלים,,,,,,,,,
31.79592425,35.21198076,,,,,,,,,,,,,,ירושלים,,,,,,,,,,,,,,,,,,,,,,העכו,,,,,,,,,
